Date;Area Name;Electric;Plug-In Hybrid*;Hybrid;All Hybrids;Gas;Diesel;Electric: Difference;Plug-In Hybrid*: Difference;Hybrid: Difference;All Hybrids: Difference;Gas: Difference;Diesel: Difference;Year;Month
2024-05-31 00:00:00;Alleghany County;20.0;13.0;152.0;165.0;11519.0;1435.0;1.0;0.0;2.0;2.0;20.0;-4.0;2024;05
2024-05-31 00:00:00;Edgecombe County;49.0;17.0;361.0;378.0;36189.0;1733.0;4.0;1.0;5.0;6.0;99.0;21.0;2024;05
2024-05-31 00:00:00;Graham County;17.0;9.0;83.0;92.0;6975.0;863.0;2.0;-1.0;0.0;-1.0;-6.0;4.0;2024;05
2024-05-31 00:00:00;Yancey County;59.0;45.0;379.0;424.0;18564.0;1848.0;2.0;3.0;10.0;13.0;78.0;10.0;2024;05
2024-06-30 00:00:00;Chatham County;1430.0;439.0;3268.0;3707.0;68294.0;4807.0;30.0;11.0;36.0;47.0;-19.0;-18.0;2024;06
2024-06-30 00:00:00;Chowan County;29.0;18.0;199.0;217.0;12144.0;1091.0;0.0;-1.0;2.0;1.0;-8.0;-1.0;2024;06
2024-06-30 00:00:00;Haywood County;259.0;121.0;1228.0;1349.0;54783.0;4485.0;-2.0;0.0;22.0;22.0;-59.0;29.0;2024;06
2024-06-30 00:00:00;Madison County;92.0;44.0;495.0;539.0;21123.0;2193.0;0.0;0.0;8.0;8.0;-12.0;11.0;2024;06
2024-06-30 00:00:00;Stokes County;73.0;28.0;592.0;620.0;44981.0;3627.0;2.0;-3.0;10.0;7.0;55.0;23.0;2024;06
2024-08-31 00:00:00;Edgecombe County;47.0;22.0;377.0;399.0;36013.0;1758.0;-1.0;1.0;4.0;5.0;106.0;11.0;2024;08
2024-08-31 00:00:00;Graham County;18.0;9.0;85.0;94.0;7031.0;885.0;1.0;0.0;0.0;0.0;33.0;8.0;2024;08
2024-08-31 00:00:00;Harnett County;585.0;217.0;2274.0;2491.0;103899.0;6790.0;22.0;1.0;69.0;70.0;484.0;69.0;2024;08
2024-09-30 00:00:00;Transylvania County;228.0;90.0;969.0;1059.0;27457.0;2438.0;9.0;0.0;0.0;0.0;-118.0;-6.0;2024;09
2024-10-31 00:00:00;Ashe County;58.0;35.0;519.0;554.0;26217.0;2535.0;3.0;5.0;-3.0;2.0;-142.0;-3.0;2024;10
2024-11-30 00:00:00;Scotland County;48.0;18.0;399.0;417.0;24513.0;977.0;5.0;1.0;12.0;13.0;-9.0;23.0;2024;11
2024-11-30 00:00:00;Chowan County;33.0;20.0;235.0;255.0;12621.0;1044.0;1.0;0.0;-5.0;-5.0;-20.0;97.0;2024;11
2024-12-31 00:00:00;Washington County;14.0;6.0;100.0;106.0;9425.0;643.0;1.0;0.0;0.0;0.0;-51.0;-51.0;2024;12
2024-02-28 00:00:00;Chowan County;30.0;17.0;201.0;218.0;12131.0;1092.0;0.0;0.0;13.0;13.0;19.0;10.0;2024;02
2024-03-31 00:00:00;Currituck County;137.0;47.0;645.0;692.0;27327.0;2805.0;4.0;3.0;18.0;21.0;24.0;-6.0;2024;03
2024-03-31 00:00:00;Durham County;3696.0;1279.0;11225.0;12504.0;198403.0;6625.0;135.0;22.0;180.0;202.0;503.0;-8.0;2024;03
2024-03-31 00:00:00;Greene County;22.0;6.0;154.0;160.0;14979.0;1377.0;1.0;-1.0;4.0;3.0;84.0;1.0;2024;03
2024-03-31 00:00:00;Nash County;174.0;64.0;1110.0;1174.0;80273.0;6203.0;3.0;1.0;23.0;24.0;414.0;-85.0;2024;03
2024-03-31 00:00:00;Orange County;2497.0;899.0;6935.0;7834.0;90540.0;4102.0;78.0;10.0;35.0;45.0;157.0;10.0;2024;03
2024-03-31 00:00:00;Surry County;126.0;60.0;915.0;975.0;70006.0;11031.0;0.0;2.0;19.0;21.0;149.0;-18.0;2024;03
2024-04-30 00:00:00;Columbus County;35.0;28.0;384.0;412.0;42988.0;3189.0;1.0;0.0;6.0;6.0;-261.0;-6.0;2024;04
2024-01-31 00:00:00;Moore County;659.0;293.0;2810.0;3103.0;88861.0;14299.0;14.0;8.0;48.0;56.0;344.0;43.0;2024;01
2024-01-31 00:00:00;Wake County;17905.0;4268.0;36692.0;40960.0;795206.0;37027.0;919.0;119.0;874.0;993.0;2791.0;239.0;2024;01
2024-02-28 00:00:00;Guilford County;2640.0;845.0;10935.0;11780.0;356245.0;20806.0;45.0;13.0;127.0;140.0;468.0;-358.0;2024;02
2024-02-28 00:00:00;McDowell County;124.0;48.0;556.0;604.0;40293.0;2828.0;4.0;0.0;6.0;6.0;211.0;10.0;2024;02
2024-03-31 00:00:00;Avery County;46.0;17.0;247.0;264.0;15988.0;1782.0;0.0;-1.0;3.0;2.0;81.0;-11.0;2024;03
2024-03-31 00:00:00;Swain County;43.0;20.0;223.0;243.0;14182.0;1492.0;0.0;2.0;2.0;4.0;62.0;4.0;2024;03
2024-04-30 00:00:00;Franklin County;277.0;106.0;1271.0;1377.0;59079.0;3878.0;16.0;5.0;15.0;20.0;71.0;16.0;2024;04
2024-05-31 00:00:00;Chatham County;1400.0;428.0;3232.0;3660.0;68313.0;4825.0;53.0;8.0;32.0;40.0;63.0;11.0;2024;05
2024-05-31 00:00:00;Pitt County;519.0;223.0;2636.0;2859.0;115366.0;5803.0;16.0;5.0;43.0;48.0;249.0;27.0;2024;05
2024-06-30 00:00:00;Rutherford County;131.0;64.0;951.0;1015.0;57717.0;4385.0;4.0;0.0;5.0;5.0;-10.0;3.0;2024;06
2024-07-31 00:00:00;Gaston County;950.0;320.0;3166.0;3486.0;164921.0;8805.0;24.0;9.0;59.0;68.0;0.0;-6.0;2024;07
2024-08-31 00:00:00;Currituck County;169.0;49.0;723.0;772.0;27727.0;2807.0;1.0;-2.0;29.0;27.0;163.0;5.0;2024;08
2024-08-31 00:00:00;Durham County;4276.0;1364.0;11957.0;13321.0;197615.0;6625.0;101.0;2.0;148.0;150.0;236.0;-3.0;2024;08
2024-08-31 00:00:00;Lee County;234.0;75.0;1203.0;1278.0;49634.0;3290.0;4.0;-1.0;19.0;18.0;201.0;23.0;2024;08
2024-09-30 00:00:00;Jones County;14.0;6.0;97.0;103.0;8411.0;772.0;0.0;0.0;2.0;2.0;-22.0;-3.0;2024;09
2024-10-31 00:00:00;Haywood County;243.0;127.0;1332.0;1459.0;53835.0;4060.0;0.0;5.0;14.0;19.0;-305.0;-13.0;2024;10
2024-11-30 00:00:00;Nash County;194.0;65.0;1427.0;1492.0;82688.0;5908.0;7.0;1.0;44.0;45.0;291.0;677.0;2024;11
2024-12-31 00:00:00;Stanly County;166.0;57.0;875.0;932.0;57844.0;4772.0;8.0;2.0;25.0;27.0;-147.0;-272.0;2024;12
2024-12-31 00:00:00;Moore County;776.0;340.0;3624.0;3964.0;90203.0;5288.0;24.0;1.0;44.0;45.0;-362.0;-518.0;2024;12
2024-12-31 00:00:00;Halifax County;76.0;26.0;568.0;594.0;42430.0;1988.0;1.0;0.0;8.0;8.0;-307.0;-243.0;2024;12
2024-12-31 00:00:00;Edgecombe County;51.0;20.0;472.0;492.0;37430.0;1634.0;5.0;2.0;-1.0;1.0;-272.0;-46.0;2024;12
2024-08-31 00:00:00;Bladen County;33.0;16.0;270.0;286.0;26936.0;2228.0;3.0;0.0;2.0;2.0;19.0;11.0;2024;08
2024-08-31 00:00:00;Rockingham County;159.0;72.0;1115.0;1187.0;80943.0;5408.0;3.0;-2.0;20.0;18.0;176.0;12.0;2024;08
2024-09-30 00:00:00;Hyde County;4.0;3.0;48.0;51.0;3721.0;585.0;0.0;0.0;1.0;1.0;-10.0;-11.0;2024;09
2024-10-31 00:00:00;Franklin County;348.0;107.0;1515.0;1622.0;61410.0;3702.0;18.0;-6.0;32.0;26.0;207.0;40.0;2024;10
2024-10-31 00:00:00;Henderson County;724.0;314.0;3589.0;3903.0;97447.0;6079.0;30.0;-2.0;-18.0;-20.0;-968.0;-20.0;2024;10
2024-10-31 00:00:00;Pamlico County;36.0;18.0;249.0;267.0;11806.0;947.0;0.0;0.0;10.0;10.0;19.0;6.0;2024;10
2024-10-31 00:00:00;Stanly County;154.0;55.0;839.0;894.0;57924.0;4765.0;2.0;-1.0;16.0;15.0;69.0;3.0;2024;10
2024-11-30 00:00:00;Robeson County;107.0;45.0;1255.0;1300.0;95452.0;5064.0;-3.0;2.0;31.0;33.0;268.0;247.0;2024;11
